variable,number of missing variables
gramshort54,11600
gramshort55,11600
gramshort56,11600
gramshort57,11600
gramshort58,11600
gramshort59,11600
gramshort60,11600
gramshort61,11600
gramshort62,11600
gramshort63,11600
gramshort64,11600
ensum1,11778
protsum1,11778
protsum1_anim,11778
protsum1_veg,11738
kolhsum1,11778
sacksum1,11778
DISAsum1,11778
MOSAsum1,11778
fibesum1,11778
FULLKsum1,11778
alkosum1,11600
fettsum1,11778
mfetsum1,11778
MONOsum1,11778
POLYsum1,11778
TRANSsum1,11778
kolesum1,11778
FA140_sum1,11778
FA160_sum1,11778
FA182_sum1,11778
FA183_sum1,11778
FA204_sum1,11761
FA205_sum1,11778
FA226_sum1,11778
FA150_sum1,23856
FA170_sum1,23856
MAGNsum1,11778
NATRsum1,11778
FOSFsum1,11778
NIACsum1,11778
selesum1,11778
ZINCsum1,11778
retisum1,11778
karosum1,11778
TIAMsum1,11778
Folasum1,11778
B2sum1,11778
B6sum1,11778
B12sum1,11778
askosum1,11778
Dsum1,11778
tokosum1,11778
VITKsum1,11778
jernsum1,11778
JODIsum1,11778
kalcsum1,11778
KALIsum1,11778
l2a1,16748
l2a2,21605
l2a3,23246
l2a4,23084
l2a5,23725
l2a6,21827
l2b1,16227
l2b2,22503
l2b3,23451
l2b4,23552
l2b5,23768
l2b6,22123
l1,11665
l2,23856
l3,11730
l5a,11998
l5b,11853
l5c,11764
kostdata,11600
